0,1,2,3,4,5,6,7,8,9,10,11
1681286400000,29986.99000000,30050.47000000,29913.71000000,29914.97000000,1468.79021000,1681289999999,44045481.36752340,32303,739.69951000,22184206.91306880,0
1681290000000,29914.97000000,30007.83000000,29895.98000000,30007.68000000,1502.65731000,1681293599999,45014425.85550880,32271,803.48497000,24071484.29060740,0
1681293600000,30007.67000000,30029.37000000,29978.13000000,29996.27000000,1155.85308000,1681297199999,34679177.96476670,28844,624.07934000,18724532.40352200,0
1681297200000,29996.28000000,30019.65000000,29930.95000000,30016.30000000,1457.13626000,1681300799999,43685743.24753620,29564,779.08483000,23358421.49668530,0
1681300800000,30016.31000000,30486.00000000,29919.00000000,30157.09000000,8712.89441000,1681304399999,263630041.83114900,142431,4490.00101000,135869070.91993960,0
1681304400000,30157.09000000,30340.22000000,29964.00000000,30053.73000000,5716.56104000,1681307999999,172296320.86664900,96558,2848.66110000,85868995.37478600,0
1681308000000,30053.72000000,30263.40000000,30016.95000000,30024.69000000,4889.98136000,1681311599999,147365800.49146610,83898,2502.23066000,75410711.70558800,0
1681311600000,30024.69000000,30066.96000000,29637.40000000,29964.02000000,6989.08971000,1681315199999,208837621.32687090,121421,3428.36856000,102451830.80302880,0
1681315200000,29964.03000000,30034.99000000,29915.01000000,29939.02000000,1972.26301000,1681318799999,59104125.94761430,44798,1013.80571000,30380894.26636070,0
1681318800000,29939.02000000,30091.01000000,29907.14000000,30023.92000000,2066.73716000,1681322399999,62018255.04626390,44733,1061.97325000,31866432.11577430,0
1681322400000,30023.93000000,30057.52000000,29845.01000000,29917.26000000,2390.44208000,1681325999999,71627520.51638280,58331,1160.48633000,34773175.28383820,0
1681326000000,29917.27000000,29949.76000000,29760.13000000,29798.59000000,2099.05832000,1681329599999,62690087.13445080,46671,934.98313000,27926575.50416390,0
1681329600000,29798.59000000,29955.00000000,29775.68000000,29947.47000000,1063.07245000,1681333199999,31748375.68631140,30898,550.27160000,16435854.26441220,0
1681333200000,29947.48000000,29979.74000000,29900.77000000,29944.12000000,759.66879000,1681336799999,22745409.70653380,27289,381.62233000,11425761.62237740,0
1681336800000,29944.12000000,29975.41000000,29796.21000000,29841.35000000,1285.14991000,1681340399999,38418398.62794810,36575,588.83167000,17604931.92607160,0
1681340400000,29841.35000000,29939.61000000,29823.45000000,29888.07000000,1055.67341000,1681343999999,31549888.20280340,28700,523.71645000,15653191.06704490,0
1681344000000,29888.07000000,30035.28000000,29854.59000000,29984.69000000,1441.58145000,1681347599999,43179182.61208100,40926,825.01434000,24710909.98626000,0
1681347600000,29984.70000000,30077.49000000,29945.64000000,30065.13000000,1264.68096000,1681351199999,37952394.13697050,30705,674.42611000,20239159.91923630,0
1681351200000,30065.13000000,30200.00000000,29997.51000000,30116.51000000,1754.75029000,1681354799999,52811269.26166430,38083,987.04026000,29713262.84772420,0
1681354800000,30116.51000000,30121.70000000,30040.00000000,30072.17000000,1024.40584000,1681358399999,30815241.27308710,28926,444.26262000,13362929.10926570,0
1681358400000,30072.17000000,30106.16000000,30041.22000000,30053.65000000,795.61445000,1681361999999,23925213.77899020,20098,434.39440000,13063025.62825880,0
1681362000000,30053.65000000,30128.59000000,30041.48000000,30105.08000000,733.63445000,1681365599999,22065713.24618280,19827,394.93610000,11877996.35909040,0
1681365600000,30105.08000000,30116.87000000,29986.64000000,30016.54000000,1944.53521000,1681369199999,58425505.85076000,35955,970.88178000,29166156.61524400,0
1681369200000,30016.53000000,30107.10000000,29982.93000000,30068.60000000,1613.85980000,1681372799999,48496518.23576020,31490,836.30333000,25133084.31056890,0
